"Index Name","Date","Open","High","Low","Close"
"NIFTY TOTAL MARKET","03 Nov 2023","9542.50","9563.70","9537.80","9549.30"
"NIFTY TOTAL MARKET","02 Nov 2023","9464.45","9494.10","9448.75","9486.35"
"NIFTY TOTAL MARKET","01 Nov 2023","9440.25","9454.90","9390.30","9398.15"
"NIFTY TOTAL MARKET","31 Oct 2023","9495.30","9495.45","9426.90","9435.35"
"NIFTY TOTAL MARKET","30 Oct 2023","9425.85","9454.75","9356.90","9448.20"
"NIFTY TOTAL MARKET","27 Oct 2023","9339.45","9429.85","9338.65","9414.30"
"NIFTY TOTAL MARKET","26 Oct 2023","9357.75","9363.40","9236.15","9292.90"
"NIFTY TOTAL MARKET","25 Oct 2023","9491.30","9522.65","9353.75","9403.85"
"NIFTY TOTAL MARKET","23 Oct 2023","9665.45","9675.70","9459.85","9476.35"
"NIFTY TOTAL MARKET","20 Oct 2023","9696.55","9717.75","9657.05","9666.90"
"NIFTY TOTAL MARKET","19 Oct 2023","9691.10","9743.50","9663.65","9724.45"
"NIFTY TOTAL MARKET","18 Oct 2023","9820.35","9825.10","9734.05","9742.25"
"NIFTY TOTAL MARKET","17 Oct 2023","9820.70","9824.70","9792.45","9809.65"
"NIFTY TOTAL MARKET","16 Oct 2023","9763.25","9787.00","9742.75","9765.65"
"NIFTY TOTAL MARKET","13 Oct 2023","9724.55","9788.25","9715.45","9762.20"
"NIFTY TOTAL MARKET","12 Oct 2023","9786.45","9798.05","9767.50","9777.75"
"NIFTY TOTAL MARKET","11 Oct 2023","9752.65","9790.30","9750.00","9768.20"
"NIFTY TOTAL MARKET","10 Oct 2023","9641.60","9716.75","9641.60","9708.40"
"NIFTY TOTAL MARKET","09 Oct 2023","9635.00","9654.55","9591.30","9608.80"
"NIFTY TOTAL MARKET","06 Oct 2023","9688.90","9715.05","9674.35","9706.00"
"NIFTY TOTAL MARKET","05 Oct 2023","9653.30","9672.00","9626.50","9650.55"
"NIFTY TOTAL MARKET","04 Oct 2023","9650.40","9653.20","9556.90","9608.10"
"NIFTY TOTAL MARKET","03 Oct 2023","9704.15","9704.70","9653.10","9682.60"
"NIFTY TOTAL MARKET","29 Sep 2023","9666.80","9737.90","9653.75","9702.50"
"NIFTY TOTAL MARKET","28 Sep 2023","9752.25","9755.25","9621.05","9633.95"
"NIFTY TOTAL MARKET","27 Sep 2023","9687.45","9733.50","9658.65","9727.75"
"NIFTY TOTAL MARKET","26 Sep 2023","9694.50","9711.10","9675.30","9690.30"
"NIFTY TOTAL MARKET","25 Sep 2023","9688.60","9707.15","9645.85","9687.00"
"NIFTY TOTAL MARKET","22 Sep 2023","9708.50","9735.35","9657.80","9679.30"
"NIFTY TOTAL MARKET","21 Sep 2023","9762.05","9771.40","9684.80","9701.80"
"NIFTY TOTAL MARKET","20 Sep 2023","9819.15","9852.75","9766.65","9783.90"
"NIFTY TOTAL MARKET","18 Sep 2023","9905.90","9908.40","9867.85","9874.45"
"NIFTY TOTAL MARKET","15 Sep 2023","9902.80","9918.85","9878.40","9904.30"
"NIFTY TOTAL MARKET","14 Sep 2023","9862.00","9894.65","9836.70","9868.60"
"NIFTY TOTAL MARKET","13 Sep 2023","9782.35","9830.85","9726.15","9823.30"
"NIFTY TOTAL MARKET","12 Sep 2023","9961.35","9961.40","9762.05","9783.25"
"NIFTY TOTAL MARKET","11 Sep 2023","9858.20","9908.70","9848.95","9904.65"
"NIFTY TOTAL MARKET","08 Sep 2023","9785.65","9830.30","9770.85","9812.15"
"NIFTY TOTAL MARKET","07 Sep 2023","9704.10","9761.05","9691.55","9755.55"
"NIFTY TOTAL MARKET","06 Sep 2023","9695.10","9706.90","9651.25","9698.65"
"NIFTY TOTAL MARKET","05 Sep 2023","9668.80","9690.10","9641.45","9681.65"
"NIFTY TOTAL MARKET","04 Sep 2023","9627.75","9647.20","9580.05","9641.45"
"NIFTY TOTAL MARKET","01 Sep 2023","9506.45","9587.25","9501.80","9580.05"
"NIFTY TOTAL MARKET","31 Aug 2023","9537.80","9544.50","9484.80","9496.65"
"NIFTY TOTAL MARKET","30 Aug 2023","9540.15","9555.35","9513.15","9518.70"
"NIFTY TOTAL MARKET","29 Aug 2023","9495.90","9499.55","9476.55","9493.35"
"NIFTY TOTAL MARKET","28 Aug 2023","9456.50","9485.55","9432.45","9462.15"
"NIFTY TOTAL MARKET","25 Aug 2023","9458.00","9478.50","9408.25","9430.05"
"NIFTY TOTAL MARKET","24 Aug 2023","9550.40","9569.85","9482.45","9489.95"
"NIFTY TOTAL MARKET","23 Aug 2023","9498.80","9517.30","9479.25","9499.85"
"NIFTY TOTAL MARKET","22 Aug 2023","9460.45","9483.65","9454.40","9472.50"
"NIFTY TOTAL MARKET","21 Aug 2023","9400.10","9451.20","9392.45","9440.15"
"NIFTY TOTAL MARKET","18 Aug 2023","9393.70","9411.55","9366.75","9386.50"
"NIFTY TOTAL MARKET","17 Aug 2023","9442.60","9449.20","9400.00","9411.55"
"NIFTY TOTAL MARKET","16 Aug 2023","9396.25","9446.75","9370.50","9438.40"
"NIFTY TOTAL MARKET","14 Aug 2023","9424.35","9437.60","9327.45","9421.50"
"NIFTY TOTAL MARKET","11 Aug 2023","9502.40","9503.55","9433.55","9441.55"
"NIFTY TOTAL MARKET","10 Aug 2023","9517.55","9526.65","9463.25","9484.75"
"NIFTY TOTAL MARKET","09 Aug 2023","9496.95","9523.65","9451.40","9519.25"
"NIFTY TOTAL MARKET","08 Aug 2023","9510.10","9513.55","9452.70","9486.35"
"NIFTY TOTAL MARKET","07 Aug 2023","9485.65","9497.50","9457.40","9489.55"
"NIFTY TOTAL MARKET","04 Aug 2023","9429.00","9466.65","9423.35","9452.55"
"NIFTY TOTAL MARKET","03 Aug 2023","9409.20","9444.10","9340.10","9386.45"
"NIFTY TOTAL MARKET","02 Aug 2023","9515.10","9522.35","9372.05","9431.05"
"NIFTY TOTAL MARKET","01 Aug 2023","9563.35","9567.90","9525.25","9539.55"
"NIFTY TOTAL MARKET","31 Jul 2023","9491.50","9549.25","9473.95","9541.55"
"NIFTY TOTAL MARKET","28 Jul 2023","9470.40","9483.60","9439.60","9476.85"
"NIFTY TOTAL MARKET","27 Jul 2023","9526.40","9536.75","9435.35","9461.20"
"NIFTY TOTAL MARKET","26 Jul 2023","9477.25","9510.60","9467.20","9490.50"
"NIFTY TOTAL MARKET","25 Jul 2023","9458.95","9458.95","9411.70","9447.05"
"NIFTY TOTAL MARKET","24 Jul 2023","9459.65","9475.40","9421.50","9428.55"
"NIFTY TOTAL MARKET","21 Jul 2023","9462.95","9496.15","9432.85","9448.85"
"NIFTY TOTAL MARKET","20 Jul 2023","9481.55","9528.40","9452.90","9523.35"
"NIFTY TOTAL MARKET","19 Jul 2023","9454.60","9480.30","9432.15","9474.50"
"NIFTY TOTAL MARKET","18 Jul 2023","9462.70","9466.80","9397.15","9428.00"
"NIFTY TOTAL MARKET","17 Jul 2023","9394.45","9435.55","9380.05","9428.45"
"NIFTY TOTAL MARKET","14 Jul 2023","9328.30","9379.25","9306.45","9367.90"
"NIFTY TOTAL MARKET","13 Jul 2023","9348.05","9373.35","9272.50","9288.00"
"NIFTY TOTAL MARKET","12 Jul 2023","9329.60","9332.95","9292.65","9300.05"
"NIFTY TOTAL MARKET","11 Jul 2023","9280.00","9330.20","9273.10","9301.70"
"NIFTY TOTAL MARKET","10 Jul 2023","9285.55","9287.15","9234.45","9248.00"
"NIFTY TOTAL MARKET","07 Jul 2023","9302.60","9338.80","9241.25","9254.20"
"NIFTY TOTAL MARKET","06 Jul 2023","9272.80","9329.90","9267.30","9325.20"
"NIFTY TOTAL MARKET","05 Jul 2023","9258.35","9277.75","9236.80","9270.15"
"NIFTY TOTAL MARKET","04 Jul 2023","9268.75","9270.10","9212.80","9244.65"
"NIFTY TOTAL MARKET","03 Jul 2023","9209.45","9237.70","9206.65","9230.00"
"NIFTY TOTAL MARKET","30 Jun 2023","9133.45","9179.05","9118.00","9174.80"
"NIFTY TOTAL MARKET","28 Jun 2023","9070.75","9100.40","9055.10","9090.15"
"NIFTY TOTAL MARKET","27 Jun 2023","9003.00","9032.90","8995.85","9028.35"
"NIFTY TOTAL MARKET","26 Jun 2023","8945.70","8980.55","8933.20","8973.40"
"NIFTY TOTAL MARKET","23 Jun 2023","9007.90","9011.80","8934.25","8942.10"
"NIFTY TOTAL MARKET","22 Jun 2023","9077.75","9084.00","9008.40","9015.05"
"NIFTY TOTAL MARKET","21 Jun 2023","9072.95","9091.85","9049.60","9070.50"
"NIFTY TOTAL MARKET","20 Jun 2023","9017.85","9056.20","8981.20","9047.70"
"NIFTY TOTAL MARKET","19 Jun 2023","9063.10","9071.90","9000.65","9014.35"
"NIFTY TOTAL MARKET","16 Jun 2023","8991.00","9051.60","8986.20","9034.85"
"NIFTY TOTAL MARKET","15 Jun 2023","8993.30","9011.50","8955.55","8966.35"
"NIFTY TOTAL MARKET","14 Jun 2023","8979.55","8986.00","8953.00","8980.45"
"NIFTY TOTAL MARKET","13 Jun 2023","8913.70","8965.00","8913.40","8959.80"
"NIFTY TOTAL MARKET","12 Jun 2023","8883.05","8902.25","8861.60","8893.10"
"NIFTY TOTAL MARKET","09 Jun 2023","8901.50","8909.50","8856.20","8862.50"
"NIFTY TOTAL MARKET","08 Jun 2023","8943.25","8957.85","8877.40","8885.90"
"NIFTY TOTAL MARKET","07 Jun 2023","8895.15","8939.10","8886.15","8933.95"
"NIFTY TOTAL MARKET","06 Jun 2023","8857.90","8871.00","8826.80","8861.40"
"NIFTY TOTAL MARKET","05 Jun 2023","8859.45","8871.70","8844.90","8849.40"
"NIFTY TOTAL MARKET","02 Jun 2023","8824.10","8836.40","8801.85","8821.80"
"NIFTY TOTAL MARKET","01 Jun 2023","8813.95","8827.05","8782.75","8792.15"
"NIFTY TOTAL MARKET","31 May 2023","8796.15","8806.55","8760.05","8794.00"
"NIFTY TOTAL MARKET","30 May 2023","8800.75","8823.00","8786.75","8809.60"
"NIFTY TOTAL MARKET","29 May 2023","8804.95","8812.80","8786.00","8793.90"
"NIFTY TOTAL MARKET","26 May 2023","8693.45","8755.90","8682.15","8751.80"
"NIFTY TOTAL MARKET","25 May 2023","8649.35","8681.45","8630.10","8674.05"
"NIFTY TOTAL MARKET","24 May 2023","8652.25","8693.70","8638.95","8651.90"
"NIFTY TOTAL MARKET","23 May 2023","8670.90","8695.80","8658.40","8667.00"
"NIFTY TOTAL MARKET","22 May 2023","8592.75","8652.05","8579.75","8644.55"
"NIFTY TOTAL MARKET","19 May 2023","8588.10","8597.95","8519.50","8591.65"
"NIFTY TOTAL MARKET","18 May 2023","8646.40","8651.60","8558.75","8566.75"
"NIFTY TOTAL MARKET","17 May 2023","8645.95","8648.50","8568.50","8601.70"
"NIFTY TOTAL MARKET","16 May 2023","8687.55","8692.55","8628.50","8637.00"
"NIFTY TOTAL MARKET","15 May 2023","8638.40","8691.05","8621.35","8667.70"
"NIFTY TOTAL MARKET","12 May 2023","8626.50","8644.15","8586.05","8627.95"
"NIFTY TOTAL MARKET","11 May 2023","8645.20","8653.00","8618.50","8630.85"
"NIFTY TOTAL MARKET","10 May 2023","8614.35","8624.70","8565.95","8619.15"
"NIFTY TOTAL MARKET","09 May 2023","8618.50","8640.40","8578.70","8593.40"
"NIFTY TOTAL MARKET","08 May 2023","8541.00","8606.00","8535.10","8598.35"
"NIFTY TOTAL MARKET","05 May 2023","8545.90","8581.25","8509.25","8516.40"
"NIFTY TOTAL MARKET","04 May 2023","8517.85","8591.50","8512.70","8586.35"
"NIFTY TOTAL MARKET","03 May 2023","8513.80","8529.80","8493.20","8513.75"
"NIFTY TOTAL MARKET","02 May 2023","8512.30","8541.60","8504.25","8526.35"
"NIFTY TOTAL MARKET","28 Apr 2023","8420.85","8489.00","8402.60","8480.35"
"NIFTY TOTAL MARKET","27 Apr 2023","8358.45","8406.30","8352.55","8400.40"
"NIFTY TOTAL MARKET","26 Apr 2023","8332.25","8359.55","8313.05","8354.70"
"NIFTY TOTAL MARKET","25 Apr 2023","8327.60","8347.35","8311.65","8333.00"
"NIFTY TOTAL MARKET","24 Apr 2023","8304.20","8322.55","8269.85","8318.55"
"NIFTY TOTAL MARKET","21 Apr 2023","8291.70","8296.60","8241.00","8272.50"
